Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides
Conv1,448,448,3,3,3,32,1b
Conv2,225,225,32,3,3,64,1
Conv3,113,113,64,3,3,128,1
Conv4,111,111,128,1,1,64,1
Conv5,113,113,64,3,3,128,1
Conv6,57,57,128,3,3,256,1
Conv7,55,55,256,1,1,128,1
Conv8,57,57,128,3,3,256,1
Conv9,29,29,256,3,3,512,1
Conv10,27,27,512,1,1,256,1
Conv11,29,29,256,3,3,512,1
Conv12,27,27,512,1,1,256,1
Conv13,29,29,256,3,3,512,1
Conv14,15,15,512,3,3,1024,1
Conv15,13,13,1024,1,1,512,1
Conv16,15,15,512,3,3,1024,1
Conv17,13,13,1024,1,1,512,1
Conv18,15,15,512,3,3,1024,1
Conv19,15,15,1024,3,3,1024,1
Conv20,15,15,1024,3,3,1024,1
Conv21,15,15,3072,3,3,1024,1
Conv22,13,13,1024,1,1,425,1